Kenya Airways - Head Office,*** Hidden ***
Kenya Asia Industry Ltd,http://www.kenyaasia.com
Kenya Bankers Sacco Society Ltd,http://www.kbsacco.co.ke
Kenya Builders & Concrete Co Ltd,*** Hidden ***
Kenya Bureau of Standards (KEBS) - Head Office,http://www.kebs.org
Kenya Clay Products Ltd/Manson Hart - Nairobi,*** Hidden ***
Kenya Coach Industries Ltd,http://www.kci.co.ke
Kenya Comfort Hotel,http://www.kenyacomfort.com
Kenya Comfort Hotel & Suites,*** Hidden ***
"Kenya Conservatoire of Music, The",http://www.conservatoire.co.ke
Kenya Continental Hotel,*** Hidden ***
Kenya Cultural Centre,http://www.kenyaculturalcentre.go.ke
Kenya Freedom From Hunger Council,*** Hidden ***
Kenya Highland Seed Co Ltd,http://www.royalseed.biz
Kenya Horticultural Exporters (1977) Ltd,http://www.khekenya.com
Kenya Human Rights Commission,http://www.khrc.or.ke
Kenya Hydraulics Ltd,http://www.kenyahydraulics.com
Kenya Industrial Property Institute,http://www.kipi.go.ke
Kenya Institute of Advanced Driving,*** Hidden ***
"Kenya Institute of Curriculum Development, The",http://www.kenya instituteocurriculumdevelopment.ac.ke
Kenya Institute for the Blind,http://www.keib.or.ke
Kenya Institute of Highways and Building Technology,http://www.kihbt.ac.ke
Kenya Institute of Mass Communication,http://www.kimc.ac.ke
Kenya Institute of Special Education,*** Hidden ***
Kenya International Hotel Ltd - Head Office,http://www.kahamahotel.com
Kenya Investment Authority - Head Office,http://www.investmentkenya.com
Kenya Kayo Motors Ltd,*** Hidden ***
Kenya Laboratory Supply Centre Ltd,*** Hidden ***
Kenya Leather Experts,*** Hidden ***
Kenya Lighting Industries Ltd,*** Hidden ***
Kenya Literature Bureau,http://www.klb.co.ke
Kenya Meat Commission,*** Hidden ***
Kenya Medical Association,http://www.kma.co.ke
Kenya Meteorological Department - Head Office,http://www.meteo.go.ke
Kenya National Archives & Documentation Services,http://www.kenyarchives.go.ke
Kenya National Library Service - Buruburu,*** Hidden ***
Kenya Paediatric Association,http://www.kenyapaediatric.org
Kenya Police Savings & Credit Co-operative Society - Pilot Line,*** Hidden ***
Kenya Ports Authority,http://www.kpa.co.ke
Kenya Power - Dagoretti Emergency Line,*** Hidden ***
Kenya Power & Lighting Training School,*** Hidden ***
Kenya Professional Safari Guides Association,http://www.safariguides.org
Kenya Railway Staff Retirement Benefit Scheme,http://www.kenrailtrust.co.ke
Kenya Railways Corporation,*** Hidden ***
Kenya Red Cross Society - Head Office,http://www.kenyaredcross.org
Kenya Roads Board,http://www.krb.go.ke
Kenya School of Government,http://www.ksg.ac.ke
Kenya School of Law,http://www.ksl.ac.ke
Kenya School of Monetary Studies,http://www.ksms.or.ke
Kenya Society For The Mentally Handicapped,http://www.ksmh.org
Kenya Stationers Ltd,http://www.kensta.com
Kenya Steel Fabricators,http://www.kenyasteel.com
Kenya Students Christian Fellowship,http://www.kscf.org
Kenya Surgical Engineers Ltd,*** Hidden ***
Kenya Sweets Ltd,*** Hidden ***
Kenya Tents Ltd,http://www.kenyatents.com
Kenya Tourism Board,http://www.magicalkenya.com
Kenya Tyres Distributors Ltd,*** Hidden ***
Kenya Universities and Colleges Central Placement Service,http://www.kuccps.ac.ke
Kenya Utalii College,http://www.utalii.co.ke
Kenya Veterinary Board,http://www.kenyavetboard.org
"Kenya Water Institute, The (KEWI)",http://www.kewi.or.ke
Kenya Weaver Bird Ltd,http://www.kenyaweaverbird.com
Kenya Wildlife Service - Headquaters,http://www.kws.go.ke
Kenya Wine Agencies Ltd - Head Office,*** Hidden ***
Kenya Women Holding Limited - Head Office,*** Hidden ***
Kenya Youth Business Trust,http://www.kybt.org
Kikao Interiors Ltd,*** Hidden ***
KIP Melamine - Industrial Area,http://www.kipmelamine.com
Kipevu Restaurant,*** Hidden ***
Kiplangat & Associates,*** Hidden ***
Kiplangat & Associates Advocates,*** Hidden ***
Kirloskar (K) Ltd,*** Hidden ***
Klassique Auto Zone,*** We need a website ***
Kolping Organization of Kenya,http://www.kolpingke.org
Kooltech Engineering Co Ltd,*** Hidden ***
Kwanza Kenya Club,http://www.kwanza.freetoasthost.com
Laborex Kenya Ltd - Nairobi,*** Hidden ***
Landmark Business Centre Ltd,*** Hidden ***
Leonard Cheshire Disability International,http://www.lcd-enar.org
Library & Allied Services (K) Ltd,http://www.libraryandallied.com
Linkers (K) Ltd,*** Hidden ***
Llumar Window Films,*** Hidden ***
Lubeschem (K) Ltd,*** Hidden ***
Maisha Bora Sacco Society Ltd,http://www.maishaborasacco.com
Maji Works Ltd,*** Hidden ***
Makiga Engineering Services Ltd,http://www.makiga-engineering.com
Management University of Africa,http://www.mua.ac.ke
Manclem Valuers Ltd - Head Office,*** Hidden ***
MAP International - Kenya Office,http://www.map.org
Marcos Salon & Boutique,*** Hidden ***
Masai (K) Ltd,*** Hidden ***
Master Beauties,*** Hidden ***
"Matu, Dr Nelson Kagema",*** Hidden ***
Mau Mau Veterans Association,*** Hidden ***
Medispec (K) Ltd,http://www.medispec.co.ke
Mega Hygiene Systems,http://www.megahygienesystems.com
Merry Water Services Ltd,*** Hidden ***
Metal Cans & Closure (K) Ltd,*** Hidden ***
Metropol Corporation Ltd,http://www.metropolcorporation.co.ke
Metropol Credit Reference Bureau Ltd,*** Hidden ***
Metropol Institute of Credit Management,http://www.metropol.co.ke
Metrotech Systems,*** Hidden ***
Midrock Water Drilling Ltd,http://www.midrockenya.com
"Ministry of Agriculture, Livestock & Fisheries",*** Hidden ***
Ministry of Home Affairs & National Heritage,*** Hidden ***
Ministry of Information & Communications,*** Hidden ***
Mocol (K) Ltd,*** Hidden ***
Mod Designs,*** Hidden ***
Moeller Controls Limited,*** Hidden ***
Montana Beauty Parlour,*** We need a website ***
Motorscope (K) Ltd,*** Hidden ***
Mottiz Company Ltd,http://www.mottiz.com
Mozel Motors,*** Hidden ***
Muchiri & Associates,*** Hidden ***
Mukafa EPZ Ltd,*** Hidden ***
Multimedia University of Kenya - Main Campus,http://www.mmu.ac.ke
Museum Hill Wines,http://www.museumhillwines.com
Nairobi Arboretum,*** Hidden ***
Nairobi Chapel Church - Rongai,*** Hidden ***
Nairobi Java House - Java KMA,*** Hidden ***
National Museums of Kenya HQ - Headquarters,http://www.museums.or.ke
Nature Kenya (The East Africa Natural History Society - EANHS),http://www.naturekenya.org
Nestle (K) Ltd,http://www.nestle-ea.com
New Kenya Lodge,http://www.nksafari.com
next to Samac Plaza,http://www.kenyafresh.co.ke
Ngayu''s & Associates,*** Hidden ***
Ninjah Enterprises,*** Hidden ***
Nissan Kenya,*** Hidden ***
Njuwa Taxis And Car Hire,http://www.njuwataxis.co.ke
Nursing Council of Kenya,http://www.nckenya.com
"Nyongesa, Dr Catherine Naliaka Watta",*** Hidden ***
Office of the President - Moi Air Base Eastleigh,*** Hidden ***
One Roof Digital Marketers,http://www.oneroof.co.ke
Osano & Associates,http://www.osanoassociates.com
Oscar Systems Ltd,http://www.oscarsystems.co.ke
Outward Bound Trust of Kenya,*** Hidden ***
Ozzbeco (K) Ltd,http://www.ozzbeco.com
Pacandy Enterprises,*** Hidden ***
Paints & Adhesives - Head Office,http://www.crownpaints.co.ke
Pantech Kenya Ltd,*** Hidden ***
Paradise Lost,*** Hidden ***
Peak Point Ltd,*** Hidden ***
Pink Q Consulting,http://www.pink2.co.ke
Plastico Industries Ltd,*** Hidden ***
Porting Access Kenya,*** Hidden ***
Postal Corporation of Kenya - Enterprise road HPO,*** Hidden ***
Prisma Systems Ltd,http://www.prismasystems.com
Railways Housing Co-operative Society Ltd,*** Hidden ***
Readers'' Plight International,http://www.readersplight.com
Regional Society for Blood Transfusion Kenya,http://www.rsbt-kenya.org
Reliable Investment Services,*** Hidden ***
Renault Kenya (Simba Caetano Formula),http://www.renaultkenya.co.ke
Rift Valley Railways (Kenya),http://www.riftvalleyrail.com
RMA Kenya - Service Centre,*** Hidden ***
Roofs Kenya Ltd,*** Hidden ***
Rosjay Haircare Ltd,*** Hidden ***
Sai Sports Wear & Uniforms Ltd - City centre,*** Hidden ***
Sajo Techno-Line Ltd,*** Hidden ***
Sanofi Synthelabo (K) Ltd,http://www.sanofi-aventis.com
Scan for Life Imaging And Diagnostic Centre Ltd,*** Hidden ***
School Equipment Production Unit,*** Hidden ***
School Equipment Production Unit,http://www.sepukenya.com
Select Management Services Ltd,http://www.selectafrica.net
SEMA Toastmasters'' Club,http://www.sematoastmasters.org
Shree Hari (k) Ltd,*** We need a website ***
Sigmatts Diesel & Electrical Services,*** Hidden ***
Skilcraft Injection Services,*** Hidden ***
Skylight Chemicals Ltd,*** Hidden ***
Slumberland Kenya Ltd,http://www.slumberland.co.ke
Smatracom Ltd,http://www.smatracom.com
Sno Cream Parlours Ltd,*** Hidden ***
Spellman & Walker Co Ltd,http://www.spellmanandwalker.co.ke
Steelways (K) Ltd,*** Hidden ***
Subaru Kenya - Head Office,http://www.subarukenya.com
Summit Travel Service Ltd,*** Hidden ***
Supplyline Enterprises Ltd,*** Hidden ***
Taurus Solutions Ltd,http://www.taurus-solutions.biz
Techspa General Supplies Ltd,http://www.techspa.co.ke
